[2026-03-27T06:13:44.205+0530] {processor.py:161} INFO - Started process (PID=42659) to work on /Users/aswin/Documents/data-engineering-practice/ETL_Airflow_DBT/airflow/airflow_env/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py
[2026-03-27T06:13:44.205+0530] {processor.py:830} INFO - Processing file /Users/aswin/Documents/data-engineering-practice/ETL_Airflow_DBT/airflow/airflow_env/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2026-03-27T06:13:44.206+0530] {logging_mixin.py:188} INFO - [2026-03-27T06:13:44.206+0530] {dagbag.py:540} INFO - Filling up the DagBag from /Users/aswin/Documents/data-engineering-practice/ETL_Airflow_DBT/airflow/airflow_env/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py
[2026-03-27T06:13:44.233+0530] {processor.py:840} INFO - DAG(s) 'dataset_consumes_1_never_scheduled', 'consume_1_and_2_with_dataset_expressions', 'conditional_dataset_and_time_based_timetable', 'dataset_produces_1', 'consume_1_or_2_with_dataset_expressions', 'dataset_consumes_unknown_never_scheduled', 'dataset_consumes_1', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_produces_2', 'dataset_consumes_1_and_2' retrieved from /Users/aswin/Documents/data-engineering-practice/ETL_Airflow_DBT/airflow/airflow_env/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py
[2026-03-27T06:13:44.309+0530] {logging_mixin.py:188} INFO - [2026-03-27T06:13:44.309+0530] {dag.py:3096} INFO - Sync 10 DAGs
[2026-03-27T06:13:44.337+0530] {logging_mixin.py:188} INFO - [2026-03-27T06:13:44.337+0530] {dag.py:3954} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2026-03-25 01:00:00+00:00, run_after=2026-03-25 01:00:00+00:00
[2026-03-27T06:13:44.338+0530] {logging_mixin.py:188} INFO - [2026-03-27T06:13:44.338+0530] {dag.py:3954} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2026-03-27T06:13:44.338+0530] {logging_mixin.py:188} INFO - [2026-03-27T06:13:44.338+0530] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2026-03-27T06:13:44.339+0530] {logging_mixin.py:188} INFO - [2026-03-27T06:13:44.339+0530] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2026-03-27T06:13:44.339+0530] {logging_mixin.py:188} INFO - [2026-03-27T06:13:44.339+0530] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2026-03-27T06:13:44.339+0530] {logging_mixin.py:188} INFO - [2026-03-27T06:13:44.339+0530] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2026-03-27T06:13:44.339+0530] {logging_mixin.py:188} INFO - [2026-03-27T06:13:44.339+0530] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2026-03-27T06:13:44.340+0530] {logging_mixin.py:188} INFO - [2026-03-27T06:13:44.340+0530] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2026-03-27T06:13:44.340+0530] {logging_mixin.py:188} INFO - [2026-03-27T06:13:44.340+0530] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_1 to 2026-03-26 00:00:00+00:00, run_after=2026-03-27 00:00:00+00:00
[2026-03-27T06:13:44.340+0530] {logging_mixin.py:188} INFO - [2026-03-27T06:13:44.340+0530] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2026-03-27T06:13:44.350+0530] {processor.py:183} INFO - Processing /Users/aswin/Documents/data-engineering-practice/ETL_Airflow_DBT/airflow/airflow_env/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py took 0.147 seconds
