order_id,customer_id,order_date,total_amount,is_delivered,delivery_date
100028,2,2025-08-22,64450,true,
100029,3,2025-11-25,2272,false,
100030,4,2025-02-19,27677,false,
100031,5,2025-03-14,7317,true,
100032,1,2025-07-03,89357,false,
100033,7,2025-11-18,91927,true,
100034,9,2025-10-09,71585,false,
100035,2,2025-11-24,23543,false,
100036,3,2025-10-01,91004,false,
100037,4,2025-11-24,10755,true,
100038,5,2025-07-28,79467,true,
100039,1,2025-02-07,85133,false,
100040,7,2025-03-11,78793,false,
100041,9,2025-05-25,40860,false,
100042,2,2025-07-14,39649,false,
100043,3,2025-12-06,30263,false,
100044,4,2025-10-03,93225,false,
100045,5,2025-04-25,48343,false,
100046,1,2025-05-22,80301,false,
100047,7,2025-03-16,16711,false,
100048,9,2025-12-19,62966,true,
100049,2,2025-08-28,48654,false,
100050,3,2025-07-23,99053,true,
100051,4,2025-07-01,88650,false,
100052,5,2025-01-13,63033,false,
100053,1,2025-04-26,25615,true,
100054,7,2025-04-24,72090,false,
100055,9,2025-04-03,74922,false,
100056,2,2025-06-20,72851,true,
100057,3,2025-07-16,22558,true,
100058,4,2025-08-13,34334,true,
100059,5,2025-11-07,45105,true,
100060,1,2025-04-28,18674,true,
100061,7,2025-01-28,36475,false,
100062,9,2025-03-22,9910,true,
100063,2,2025-04-22,3071,false,
100064,3,2025-07-04,88669,false,
100065,4,2025-08-27,14871,false,
100066,5,2025-08-14,13751,false,
100067,1,2025-11-13,83056,false,
100068,7,2025-09-17,56994,true,
100069,9,2025-06-19,31558,true,
100070,2,2025-08-04,75970,true,
100071,3,2025-02-28,4493,false,
100072,4,2025-09-20,99909,false,
100073,5,2025-01-25,59416,true,
100074,1,2025-11-06,49546,true,
100075,7,2025-05-16,74468,true,
100076,9,2025-02-08,52852,true,
100077,2,2025-04-25,92392,false,
100078,3,2025-01-26,22052,false,
100079,4,2025-08-15,67741,true,
100080,5,2025-01-14,32607,true,
100081,1,2025-07-15,16910,true,
100082,7,2025-11-22,33063,true,
100083,9,2025-04-19,99420,false,
100084,2,2025-05-12,41968,false,
100085,3,2025-10-30,84832,false,
100086,4,2025-07-06,43092,true,
100087,5,2025-11-04,36054,true,
100088,1,2024-12-31,98110,false,
100089,7,2025-11-11,45118,false,
100090,9,2025-10-07,32926,false,
100091,2,2025-10-07,70800,false,
100092,3,2025-11-04,40902,false,
100093,4,2025-04-29,84667,true,
100094,5,2025-01-15,67785,true,
100095,1,2025-03-19,77715,true,
100096,7,2025-01-30,72866,false,
100097,9,2025-12-03,65892,true,
100098,2,2025-03-30,54799,false,
100099,3,2025-08-20,97056,false,
100100,4,2025-01-10,79496,true,
100101,5,2025-07-30,53473,false,
100102,1,2025-04-10,56810,true,
100103,7,2025-11-26,784,false,
100104,9,2025-09-23,21628,false,
100105,2,2025-04-21,51087,false,
100106,3,2025-04-24,54962,true,
100107,4,2025-10-27,14641,false,
100108,5,2025-04-16,35575,true,
100109,1,2025-12-02,35617,true,
100110,7,2025-04-30,41422,true,
100111,9,2025-02-17,49041,false,
